Date,DayOfWeek,S&P500,Gold_Close,Bitcoin_Close,Ethereum_Close
2016-07-27,3,2166.58,1326.5999755859375,654.3519897460938,12.9728002548
2016-07-28,4,2170.06,1332.300048828125,655.0349731445312,12.8436002731
2016-07-29,5,2173.6,1349.0,656.9920043945312,12.7945995331
2016-08-01,1,2170.84,1351.4000244140625,606.27197265625,10.9415998459
2016-08-02,2,2157.03,1364.4000244140625,547.4650268554688,8.7872800827
2016-08-03,3,2163.79,1356.0999755859375,566.35498046875,10.2938995361
2016-08-04,4,2164.25,1358.800048828125,578.2890014648438,11.0427999496
2016-08-05,5,2182.87,1336.4000244140625,575.0430297851562,10.9253997803
2016-08-08,1,2180.89,1333.4000244140625,591.0540161132812,11.2454004288
2016-08-09,2,2181.74,1339.0,587.801025390625,12.2442998886
2016-08-10,3,2175.49,1344.300048828125,592.10302734375,12.1431999207
2016-08-11,4,2185.79,1342.5,589.1199951171875,11.6908998489
2016-08-12,5,2184.05,1335.800048828125,587.5590209960938,11.7784996033
2016-08-15,1,2190.15,1340.300048828125,567.239990234375,11.2184000015
2016-08-16,2,2178.15,1350.5,577.4390258789062,11.1396999359
2016-08-17,3,2182.22,1342.699951171875,573.2160034179688,10.7527999878
2016-08-18,4,2187.02,1351.199951171875,574.3179931640625,10.7560997009
2016-08-19,5,2183.87,1340.4000244140625,575.6300048828125,10.7487001419
2016-08-22,1,2182.64,1337.699951171875,586.7529907226562,11.1209001541
2016-08-23,2,2186.9,1340.5999755859375,583.4149780273438,11.0305995941
2016-08-24,3,2175.44,1324.4000244140625,580.1820068359375,11.0360002518
2016-08-25,4,2172.47,1320.0999755859375,577.760986328125,11.3573999405
2016-08-26,5,2169.04,1321.5,579.6510009765625,11.2953996658
2016-08-29,1,2180.38,1322.9000244140625,574.1069946289062,10.9837999344
2016-08-30,2,2176.12,1311.699951171875,577.5029907226562,11.2288999557
2016-08-31,3,2170.95,1306.9000244140625,575.4719848632812,11.6724004745
2016-09-01,4,2170.86,1312.199951171875,572.302978515625,11.9948997498
2016-09-02,5,2179.98,1322.0999755859375,575.5369873046875,12.1129999161
2016-09-06,2,2186.48,1349.4000244140625,610.4359741210938,11.6891002655
2016-09-07,3,2186.16,1344.300048828125,614.5440063476562,11.5479001999
2016-09-08,4,2181.3,1336.800048828125,626.3159790039062,11.3458995819
2016-09-09,5,2127.81,1330.0999755859375,622.8610229492188,11.6527996063
2016-09-12,1,2159.04,1321.0,608.2429809570312,11.893699646
2016-09-13,2,2127.02,1319.0,609.2410278320312,11.9187002182
2016-09-14,3,2125.77,1321.5,610.6840209960938,11.9231996536
2016-09-15,4,2147.26,1313.5,607.155029296875,11.9370002747
2016-09-16,5,2139.16,1305.800048828125,606.9730224609375,12.5558004379
2016-09-19,1,2139.12,1313.5,609.2269897460938,13.1890001297
2016-09-20,2,2139.76,1313.699951171875,608.31201171875,14.4302997589
2016-09-21,3,2163.12,1326.9000244140625,597.1489868164062,13.7685003281
2016-09-22,4,2177.18,1340.4000244140625,596.2979736328125,13.2475996017
2016-09-23,5,2164.69,1337.199951171875,602.8419799804688,13.3312997818
2016-09-26,1,2146.1,1339.699951171875,608.0430297851562,12.82310009
2016-09-27,2,2159.93,1325.9000244140625,606.166015625,13.0982999802
2016-09-28,3,2171.37,1319.4000244140625,604.72802734375,13.2748003006
2016-09-29,4,2151.13,1321.699951171875,605.6929931640625,13.0733995438
2016-09-30,5,2168.27,1313.300048828125,609.7349853515625,13.2248001099
2016-10-03,1,2161.2,1309.0,612.1329956054688,13.4524002075
2016-10-04,2,2150.49,1266.300048828125,610.2039794921875,13.2770004272
2016-10-05,3,2159.73,1265.199951171875,612.510986328125,13.0356998444
2016-10-06,4,2160.77,1249.800048828125,613.02099609375,12.8542995453
2016-10-07,5,2153.74,1248.9000244140625,617.1209716796875,12.6670999527
2016-10-11,2,2136.73,1253.0,641.072021484375,11.7856998444
2016-10-12,3,2139.18,1251.0999755859375,636.1920166015625,11.9335002899
2016-10-13,4,2132.55,1255.0,636.7860107421875,11.9630002975
2016-10-14,5,2132.98,1253.0999755859375,640.3779907226562,11.9381999969
2016-10-17,1,2126.5,1254.4000244140625,639.1929931640625,12.0050001144
2016-10-18,2,2139.6,1260.800048828125,637.9600219726562,12.5885000229
2016-10-19,3,2144.29,1267.9000244140625,630.52001953125,12.022600174
2016-10-20,4,2141.34,1265.5999755859375,630.8569946289062,12.0989999771
2016-10-21,5,2141.16,1265.9000244140625,632.8280029296875,12.1753997803
2016-10-24,1,2151.33,1262.0,653.760986328125,11.9689998627
2016-10-25,2,2143.16,1271.9000244140625,657.5880126953125,11.4139995575
2016-10-26,3,2139.43,1264.800048828125,678.3040161132812,11.531999588
2016-10-27,4,2133.04,1267.9000244140625,688.31298828125,11.4996995926
2016-10-28,5,2126.41,1275.5,689.6510009765625,11.085100174
2016-10-31,1,2126.15,1271.5,700.9719848632812,10.9982004166
2016-11-01,2,2111.72,1286.4000244140625,729.7930297851562,10.7660999298
2016-11-02,3,2097.94,1306.800048828125,740.8289794921875,10.7525997162
2016-11-03,4,2088.66,1302.0999755859375,688.7000122070312,10.8009996414
2016-11-04,5,2085.18,1303.300048828125,703.2349853515625,11.0907001495
2016-11-07,1,2131.52,1278.300048828125,703.1309814453125,10.8087997437
2016-11-08,2,2139.56,1273.4000244140625,709.8480224609375,10.8337001801
2016-11-09,3,2163.26,1272.5999755859375,723.2730102539062,10.655500412
